bid_id,quote_id,vendor_name,equipment_type,procurement_name,source,status,pdf_path,original_filename,created_at,updated_at
BID-001,,,,,scan,discovered,,,2026-06-28T05:33:41.714428+00:00,2026-06-28T05:33:41.714428+00:00
BID-001,BID-001-Q01,,,,scan,discovered,bids/BID-001/BID-001-Q01.pdf,BID-001-Q01.pdf,2026-06-28T05:33:41.714428+00:00,2026-06-28T05:33:41.714428+00:00
BID-001,BID-001-Q02,,,,scan,discovered,bids/BID-001/BID-001-Q02.pdf,BID-001-Q02.pdf,2026-06-28T05:33:41.714428+00:00,2026-06-28T05:33:41.714428+00:00
BID-001,BID-001-Q03,,,,scan,discovered,bids/BID-001/BID-001-Q03.pdf,BID-001-Q03.pdf,2026-06-28T05:33:41.714428+00:00,2026-06-28T05:33:41.714428+00:00
BID-001,BID-001-Q04,,,,scan,discovered,bids/BID-001/BID-001-Q04.pdf,BID-001-Q04.pdf,2026-06-28T05:33:41.714428+00:00,2026-06-28T05:33:41.714428+00:00
BID-001,BID-001-Q05,,,,scan,discovered,bids/BID-001/BID-001-Q05.pdf,BID-001-Q05.pdf,2026-06-28T05:33:41.714428+00:00,2026-06-28T05:33:41.714428+00:00
